State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
Oregon,8077405,191510,241032,6328863,150054,5861055,174896,3035806,72,2766237,82.5,2724119,64.6,2528917,75.5,4548385,3084620,444400,0,251119,2372574,3698345,6825,964926,1522590,234725,1878,962080,1331144,233914,1779,N/A,72,N/A,82.5,60.1,2339043,69.8,3035806,731492,95.5,679248,88.7,306909,320105,51429,805,1747954,228169,1054380,2958865,81.1,2701474,74.1,964922,1499957,234722,1873,6228425,170746,221434,3035791,76.1,2724112,68.3,964925,1522585,234724,1878,6328848,158621,202445,752971,27.6,752340,29.7,551436,42.8,379608,55.9,321257,419495,11988,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New Mexico,3657235,174417,225617,3196747,152456,2947646,181842,1625938,77.5,1468670,90.6,1344630,64.1,1236645,76.3,2048715,1434220,174300,0,105919,1315805,1768250,6773,528043,712858,101835,1894,527645,605445,101685,1870,N/A,77.5,N/A,90.6,60.1,1151809,71.1,1625938,399326,99.9,340621,90.2,159262,159955,20451,953,884508,234241,968532,1588473,88.9,1337402,74.8,528020,705668,101820,1894,3154382,176476,204608,1625780,82.3,1344586,68.1,528027,712839,101826,1894,3196574,161783,185097,398190,29.6,397684,32.2,291819,43.9,181722,53.4,160135,233618,4379,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10299095,178843,228909,8786033,152569,8089392,179796,4150790,72.1,3745594,83.2,3677177,63.9,3388413,75.3,5955315,3880380,463400,0,310246,3455580,5013240,6967,1366009,2017796,291457,1915,1362293,1734032,290239,1849,N/A,72.1,N/A,83.2,60,3168044,70.4,4150790,813251,96.5,744061,88.3,355164,362166,26037,694,2032966,241327,1222570,4031837,81.7,3643360,73.8,1365985,1984033,291430,1912,8632675,174890,208650,4150511,76.5,3677121,67.8,1365997,2017774,291435,1915,8785720,161903,189791,1105449,30.1,1104081,32.6,745715,47.4,456926,61.4,505871,584752,14686,140,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,71498885,180954,233522,60900969,154132,55711675,181960,31467380,79.6,28408502,92.8,25250483,63.9,23123178,75.5,41876665,26242520,3379700,0,2110737,23087002,35687877,15353,9029542,14216067,2000478,4396,9003591,12122766,1992732,4089,N/A,79.6,N/A,92.8,59.8,21497251,70.2,31467380,6358137,99.9,5000978,85.7,2520955,2280785,197891,1347,13726959,235127,1224690,30749718,91.4,25024511,74.4,9028820,13991326,1999985,4380,59954709,178191,212502,31462834,84.7,25249393,68,9029198,14215679,2000120,4396,60895634,164013,192571,5828430,23.1,5823049,25.2,4030990,37,2453128,49.1,2582735,3144749,100604,342,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Minnesota,10042420,178069,231580,8477006,150311,7771290,179208,3925153,69.6,3519184,81.2,3570353,63.3,3273302,75.5,5936020,3632300,474100,0,333272,3136657,5004384,2693,1252009,2002954,314526,864,1249763,1708696,314014,829,N/A,69.6,N/A,81.2,59.5,3056532,70.5,3925153,922325,99.9,867980,94.3,365298,452554,49873,255,2332217,253397,1091110,3787797,79.3,3523796,73.7,1251988,1956443,314509,856,8293414,173572,210177,3924949,74.2,3570311,67.5,1252003,2002933,314511,864,8476776,160302,189909,1254013,35.1,1252994,38.3,909004,52.3,581267,67,507464,728269,18081,199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,21800095,172036,221232,18244439,143976,16737507,169856,8838501,69.7,7963916,80.8,7878109,62.2,7240598,73.5,12924135,7789160,1086800,0,618330,6634605,10966504,25000,2703584,4575157,591277,8091,2695907,3948102,588687,7902,N/A,69.7,N/A,80.8,58.3,6757142,68.6,8838501,1925300,94.2,1764366,86.4,788537,890297,81992,3540,4601682,225216,1066940,8586053,79.2,7800043,72,2703469,4497269,591215,8090,17910047,165255,201149,8837917,74.1,7877895,66.1,2703484,4575102,591218,8091,18243715,152989,182812,2120194,26.9,2118029,29.3,1541662,41.7,988580,56,897633,1197354,24527,680,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delaware,1882015,193272,244357,1460015,149935,1360653,176664,715537,73.5,660498,85.8,602487,61.9,564008,73.2,1067975,730340,83700,0,55436,565941,836913,1725,218747,329944,53245,551,218620,291656,53188,544,N/A,73.5,N/A,85.8,57.3,519782,67.5,715537,200389,99.9,173362,91.8,71360,92063,9641,298,465122,246219,996271,703908,83.8,600978,71.6,218735,328457,53235,551,1446550,172248,224101,715402,77.8,602458,65.6,218736,329930,53241,551,1459852,158844,204779,147981,24.6,147855,26.2,122786,37.1,86252,49.8,63140,82851,1984,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,38941975,181313,225779,31545697,146876,29693704,172159,15541524,72.4,14490605,84,13285963,61.9,12518707,72.6,22169475,14590800,2181700,0,1343936,11835004,18252714,114043,4646007,7327260,1279211,33485,4644148,6563767,1277592,33200,N/A,72.4,N/A,84,56.6,11398011,66.1,15541524,4560378,99.9,3962212,88.1,1909769,1825059,207753,19631,10683207,237545,865890,15359394,82.2,13236364,70.8,4645276,7279228,1278391,33469,31305827,167446,208290,15533833,76.4,13284334,65.3,4645297,7327132,1278420,33485,31537086,155065,191474,3010703,22.7,3008002,24,2520989,34.4,1777595,44.9,1358322,1599434,49824,3123,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,2846330,201030,255047,2111635,149140,1952458,174951,1171685,82.8,1069814,95.9,872567,61.6,812924,72.8,1675770,1053260,117300,0,55758,676910,1284903,94064,276885,522063,55474,18145,276274,463214,55308,18128,N/A,82.8,N/A,95.9,57.9,760671,68.2,1171685,294798,99.9,238456,88.8,97999,128404,10636,1417,588525,219232,1060290,1146455,94.7,864151,71.4,276834,513745,55438,18134,2079051,171665,235018,1170549,88,872392,65.6,276839,521978,55440,18135,2111035,158647,213905,133818,15.3,133649,16.4,101872,22.9,70275,29.5,38319,94301,1173,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Wisconsin,9388095,161240,206067,8389937,144097,7809928,171427,3863288,66.4,3526317,77.4,3498341,60.1,3260241,71.6,5424555,3543640,419900,0,307984,3242563,4837816,1574,1281804,1929647,286360,530,1281461,1692127,286148,505,N/A,66.4,N/A,77.4,56.2,3034197,66.6,3863288,1007380,99,944899,92.9,454680,460329,29661,229,2569682,252612,922896,3767954,75.4,3473373,69.5,1281778,1904731,286334,530,8269651,165400,187770,3863044,70.3,3498302,63.7,1281796,1929631,286345,530,8389667,152763,170943,1135314,32.5,1134381,34.8,861670,46.8,573146,60.7,464767,656368,14143,36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
United States,580417105,174820,224742,470297846,141652,435384321,168584,235698738,71,215294246,83.4,198962520,59.9,184622732,71.5,333371145,218870860,28175100,0,16863349,179679243,273270797,484457,72099286,110769838,15963295,130101,72016066,96545989,15933929,126748,N/A,71,N/A,83.4,55.8,171094452,66.2,235698738,55411603,99.9,47410750,86.5,22608266,22470751,2275361,56372,124994116,228125,1059310,230868831,81.4,197715580,69.7,72094864,109531630,15959283,129803,464199808,163727,204718,235660855,75.5,198952978,63.7,72096174,110766345,15960393,130066,470252594,150594,185873,46299869,23.3,46249900,25.1,34681293,36,22465607,47.4,20223803,25395170,669631,11265,23056189,17748549,2194561,N/A,23681712,18759635,620689,11165,21886459,1151519,13223,4988,1066733,16662563,14916,4337,681803,920240,591878,640,46717,25313,672,1200,94.9,5,0.1,0,6,93.9,0.1,0,31.1,41.9,27,0,63.2,34.3,0.9,1.6
Pennsylvania,24092535,188194,236959,18611779,145382,17371711,170857,10556068,82.5,9793066,96.3,7551552,59,7082823,69.7,13383855,9322980,1385700,0,667087,7308207,10635139,1346,2799051,4083589,668326,586,2797000,3617456,667823,544,N/A,82.5,N/A,96.3,53.9,6427366,63.2,10556068,3054326,99.9,2041993,85.3,960879,995200,85648,266,5627501,235130,1006640,10361875,93.5,7511026,67.8,2798892,4043296,668253,585,18374924,165816,217412,10554716,87.2,7551099,62.4,2798938,4083299,668276,586,18610039,153750,199045,1207979,16,1206820,17,933929,23.4,621152,30.4,555607,647347,4996,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nebraska,3196850,165262,219212,2644360,136701,2440599,167355,1248548,64.5,1130112,77.5,1120137,57.9,1035673,71,1896510,1158840,141500,0,86069,971340,1581644,5307,397905,637620,83220,1392,397738,553463,83137,1335,N/A,64.5,N/A,77.5,54.5,969866,66.5,1248548,299217,95.8,280869,89.9,136556,136734,6724,855,755344,241743,1023130,1216750,75.2,1112810,68.8,397881,630341,83198,1390,2605235,161075,197653,1248339,69.2,1120084,62.1,397886,637601,83205,1392,2644095,146607,177255,327234,29.2,326873,31.6,242908,44.6,162043,57.7,127242,196976,2853,163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Iowa,5371735,170257,221220,4276328,135538,3986826,164187,1988159,63,1821364,75,1803805,57.2,1683687,69.3,3036835,2068000,266900,0,163064,1722269,2390578,417,688265,961827,153455,258,688060,842003,153368,256,N/A,63,N/A,75,53.1,1554460,64,1988159,535677,96.9,502912,91,264360,224351,14089,112,1349191,243997,971461,1944209,72.6,1793126,67,688254,951162,153452,258,4221347,157732,200716,1988106,67.2,1803797,61,688261,961825,153453,258,4276278,144496,181512,594889,33,594408,35.3,462767,48.6,313195,62.3,280496,307206,7179,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,5065540,158004,222683,4146771,129346,3723873,163703,2086017,65.1,1834163,80.6,1790924,55.9,1625054,71.4,3026600,1812640,226300,0,163750,1494618,2488109,294,620742,1013871,156302,9,620334,848595,156116,9,N/A,65.1,N/A,80.6,51.7,1492472,65.6,2086017,362524,99.1,326173,89.1,139678,170298,16196,1,860618,235224,1384510,2026581,78.2,1790212,69.1,620703,1013239,156261,9,4086412,157639,195410,2085651,70.5,1790844,60.5,620721,1013840,156274,9,4146340,140166,171240,364041,20.3,363296,22.4,255932,37.6,170384,52.2,135846,223238,4956,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Michigan,16761140,167832,213710,13035927,130531,12182290,155328,6166981,61.8,5673749,72.3,5507797,55.2,5154017,65.7,9247760,6658280,855100,0,419723,5147642,7466633,1929,2065045,3044491,397284,977,2064349,2691777,396990,901,N/A,61.8,N/A,72.3,52,4835577,61.7,6166981,1648841,93.4,1515226,85.8,757216,688287,69165,558,3945154,223471,949424,6028188,70.1,5469749,63.6,2065018,3006498,397258,975,12859562,149617,195010,6166734,65.5,5507753,58.5,2065030,3044477,397270,976,13035658,138377,177924,1720733,31.2,1719083,33.4,1318437,44.3,858003,56.6,761496,934989,24209,39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Dakota,1523675,172233,228246,1174889,132807,1090035,163287,600494,67.9,549252,82.3,488329,55.2,455429,68.2,821295,619880,82500,0,36791,467924,670042,132,186719,265953,35630,27,186654,233145,35603,27,N/A,67.9,N/A,82.3,51.7,424119,63.5,600494,166710,99.9,138131,91,68762,64617,4734,18,360741,237531,1003270,587806,79.6,484764,65.7,186717,262393,35627,27,1158448,156950,206432,600466,72.9,488321,59.3,186717,265950,35627,27,1174856,142668,185026,127574,26.1,127473,28,101580,39.4,69629,50.4,58205,67973,1393,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kansas,4847395,166388,219035,3769564,129391,3482069,157342,1946966,66.8,1776320,80.3,1607026,55.2,1488757,67.3,2696495,1908300,242600,0,122542,1470250,2173685,3087,598880,892302,115293,551,598526,774581,115170,480,N/A,66.8,N/A,80.3,51.8,1390332,62.8,1946966,506677,99.9,416027,87.5,198326,199560,17906,235,1093956,230071,1019460,1906347,77.8,1597670,65.2,598871,882976,115273,550,3720400,151748,197716,1946865,71.4,1607008,58.9,598872,892297,115288,551,3769455,138177,177692,395722,24.6,395256,26.5,301286,37.5,202777,48.7,175483,214730,5416,93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,11884300,163275,210771,9784696,134429,9053370,160564,4729036,65,4301143,76.3,4016917,55.2,3731006,66.2,6672180,4647420,564700,0,327890,3918685,5518984,19137,1539027,2165186,307286,5418,1538381,1880430,306845,5350,N/A,65,N/A,76.3,51.4,3457890,61.3,4729036,1227503,93.8,1080972,82.6,526338,503391,48313,2930,2936184,224370,908146,4638570,74.7,4004498,64.5,1538994,2153050,307041,5413,9679682,155971,191495,4728389,69,4016633,58.6,1539009,2165155,307051,5418,9783921,142853,173521,878064,21.9,876642,23.5,679702,33.7,465504,43.1,371055,496530,10127,352,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Texas,49488445,170674,229155,37937443,130837,34526659,159875,18738966,64.6,16805770,77.8,16015264,55.2,14656285,67.9,28890785,18167160,2430500,0,1388705,14294550,22251128,3060,5775374,8995425,1244061,404,5771232,7642156,1242518,379,N/A,64.6,N/A,77.8,51.5,13571956,62.8,18738966,3465191,92.8,3111196,83.3,1484296,1456085,170660,155,8119921,217446,1325270,18362486,76.2,15917874,66,5774788,8898950,1243736,400,37442773,155357,205337,18734644,69.4,16014147,59.3,5774871,8995060,1243812,404,37932079,140463,183257,3208843,20,3202897,21.9,2306962,33.5,1394758,44.8,1451469,1708612,48640,122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada,4802530,155918,201152,4027559,130758,3759649,157471,2062782,67,1906176,79.8,1690897,54.9,1583382,66.3,2870870,1692960,238700,0,170460,1416489,2440101,509,574780,953487,162581,49,574678,846124,162533,47,N/A,67,N/A,79.8,50.2,1437828,60.2,2062782,471847,95.1,399324,80.5,185050,189040,25207,27,1045678,210834,968307,2038966,77.8,1684921,64.3,574776,947519,162577,49,3997325,152465,183177,2062738,71.3,1690886,58.4,574776,953483,162578,49,4027504,139139,165915,346344,20.5,346152,21.9,269278,33.1,179721,45,144172,196539,5633,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alaska,1289555,176278,233801,971777,132839,893241,161948,463778,63.4,417658,75.7,400021,54.7,368715,66.8,708515,499540,81500,0,39747,378929,552285,816,149013,214711,36207,90,148618,183949,36064,84,N/A,63.4,N/A,75.7,50.1,335647,60.9,463778,84378,92.1,76644,83.7,42255,30936,3416,37,199772,218120,1408000,450613,74,396975,65.2,149009,211673,36203,90,955568,156939,211792,463723,68.1,400012,58.8,149011,214708,36203,90,971713,142801,189511,112072,28,111751,30.3,76317,44.2,43723,57,50172,60634,1254,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,17903560,170704,218673,13813220,131704,12843088,156865,7489138,71.4,6922260,84.5,5738441,54.7,5349139,65.3,10255980,6792880,854700,0,465745,5172871,8173714,890,2053411,3240337,444571,122,2050465,2855396,443159,119,N/A,71.4,N/A,84.5,50.8,4944952,60.4,7489138,1996341,99.9,1461524,83.5,703533,707083,50855,53,3883690,221786,1022420,7351807,81.8,5700786,63.4,2053343,3202772,444549,122,13634312,151736,199249,7488286,75.8,5738121,58.1,2053355,3240090,444554,122,13812075,139822,181241,842870,14.7,842151,15.7,640772,22.1,414389,28.4,358398,470541,13922,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,18499735,158265,203047,14734092,126050,13790833,151363,6884914,58.9,6341505,69.6,6261026,53.6,5870605,64.4,10494515,7123620,881600,0,566729,5680047,8469192,18124,2284706,3450946,520548,4826,2284142,3061422,520315,4726,N/A,58.9,N/A,69.6,50,5450291,59.8,6884914,1846474,90.2,1750261,85.5,791358,867414,89100,2389,4553022,222498,904049,6738578,67.4,6224306,62.2,2284692,3414251,520537,4826,14549161,145481,184984,6884789,62.6,6261000,56.9,2284699,3450933,520542,4826,14733960,133966,168206,1830938,29.2,1829086,31.2,1420420,41.9,955768,54.6,789767,1009412,31443,316,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kentucky,7122045,159413,205554,5531666,123815,5181298,149541,2716161,60.8,2511184,72.5,2353818,52.7,2208396,63.7,3817445,2952700,351900,0,214610,2302750,3012357,1949,929530,1223922,198871,1495,929280,1078958,198730,1428,N/A,60.8,N/A,72.5,48.9,2040584,58.9,2716161,702387,93.6,629453,83.9,287707,303237,37760,749,1616329,215349,948892,2667952,70.1,2341958,61.5,929517,1212109,198840,1492,5471027,143741,187119,2715838,64.7,2353775,56.1,929521,1223911,198849,1494,5530629,131837,169772,640231,27.2,639639,29,499247,39.9,325206,51.7,289131,337926,13104,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
